timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
10am,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.31 FT,2.0,2.31335 FT,14.0,Offshore,65.246 F,NIGHT_OVERCAST
10am,Tourmo,0-3.0ft,POOR_TO_FAIR,LOW,-0.39 FT,2.0,2.31335 FT,14.0,Offshore,65.246 F,NIGHT_OVERCAST
9am,Blacks,0-3.0ft,FAIR,NORMAL,-0.03 FT,3.0,1.46716 FT,14.0,Cross-shore,65.156 F,NIGHT_MIST
9am,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,0.04 FT,2.0,1.46716 FT,14.0,Cross-shore,65.156 F,NIGHT_OVERCAST
9am,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.03 FT,2.0,1.46716 FT,14.0,Onshore,65.156 F,NIGHT_MIST
9am,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,0.24 FT,2.0,2.2998 FT,14.0,Cross-shore,66.2 F,NIGHT_CLOUDY
9am,OB,0-3.0ft,FAIR,NORMAL,0.09 FT,3.0,1.21529 FT,6.0,Cross-shore,65.786 F,NIGHT_OVERCAST
9am,PB,0-3.0ft,FAIR,NORMAL,0.24 FT,3.0,2.2998 FT,14.0,Cross-shore,66.2 F,NIGHT_CLOUDY
9am,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.03 FT,2.0,1.46716 FT,14.0,Onshore,65.156 F,NIGHT_MIST
9am,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,0.24 FT,2.0,2.2998 FT,14.0,Offshore,66.092 F,NIGHT_OVERCAST
8am,Blacks,0-4.0ft,FAIR,NORMAL,0.75 FT,3.0,1.46115 FT,15.0,Cross-shore,65.228 F,NIGHT_MIST
8am,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,0.93 FT,2.0,1.46115 FT,15.0,Cross-shore,65.426 F,NIGHT_MOSTLY_CLOUDY
8am,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,0.75 FT,2.0,1.46115 FT,15.0,Onshore,65.228 F,NIGHT_MIST
8am,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,1.21 FT,2.0,2.25771 FT,15.0,Onshore,65.75 F,NIGHT_OVERCAST
8am,OB,0-3.0ft,FAIR,NORMAL,1.07 FT,3.0,1.24324 FT,6.0,Onshore,65.588 F,NIGHT_CLOUDY
8am,PB,0-3.0ft,FAIR,NORMAL,1.21 FT,3.0,2.25771 FT,15.0,Cross-shore,65.75 F,NIGHT_OVERCAST
8am,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,0.75 FT,2.0,1.46115 FT,15.0,Onshore,65.228 F,NIGHT_MIST
8am,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,1.21 FT,2.0,2.25771 FT,15.0,Offshore,65.966 F,NIGHT_OVERCAST
7am,Blacks,0-4.0ft,FAIR,NORMAL,1.88 FT,3.0,1.45049 FT,15.0,Onshore,65.38996 F,NIGHT_MOSTLY_CLOUDY
7am,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,2.14 FT,2.0,1.45049 FT,15.0,Cross-shore,66.50596 F,NIGHT_MOSTLY_CLOUDY
7am,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,1.88 FT,2.0,1.45049 FT,15.0,Onshore,65.38996 F,NIGHT_MOSTLY_CLOUDY
7am,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,2.44 FT,2.0,2.27297 FT,15.0,Onshore,65.98396 F,NIGHT_CLOUDY
7am,OB,0-3.0ft,FAIR,NORMAL,2.38 FT,3.0,1.24731 FT,6.0,Onshore,65.76796 F,NIGHT_CLOUDY
7am,PB,0-3.0ft,FAIR,NORMAL,2.44 FT,3.0,2.27297 FT,15.0,Cross-shore,65.98396 F,NIGHT_CLOUDY
7am,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,1.88 FT,2.0,1.45049 FT,15.0,Onshore,65.38996 F,NIGHT_MOSTLY_CLOUDY
7am,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,2.44 FT,2.0,2.27297 FT,15.0,Offshore,66.28996 F,NIGHT_OVERCAST
