timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8am,Blacks,3-4ft,FAIR,NORMAL,3.1 FT,3.0,1.74836 FT,7.0,Onshore,65.39004 F,NIGHT_FOG
8am,Del Mar,2-3ft,FAIR,NORMAL,3.07 FT,3.0,1.74836 FT,7.0,Onshore,65.40804 F,NIGHT_FOG
8am,LJ Shores,2-3ft,FAIR,NORMAL,3.1 FT,3.0,1.74836 FT,7.0,Cross-shore,65.39004 F,NIGHT_FOG
8am,Mission,3-4ft,FAIR,NORMAL,3.14 FT,3.0,2.24203 FT,7.0,Onshore,64.97604 F,NIGHT_LIGHT_RAIN_AND_FOG
8am,OB,3-4ft,FAIR,NORMAL,3.28 FT,3.0,2.46194 FT,7.0,Onshore,64.97604 F,NIGHT_FOG
8am,PB,2-3ft,POOR_TO_FAIR,NORMAL,3.14 FT,2.0,2.24203 FT,7.0,Onshore,64.97604 F,NIGHT_LIGHT_RAIN_AND_FOG
8am,Scripps,2-3ft,FAIR,NORMAL,3.1 FT,3.0,1.74836 FT,7.0,Cross-shore,65.39004 F,NIGHT_FOG
8am,Tourmo,2-3ft,FAIR,NORMAL,3.14 FT,3.0,2.24203 FT,7.0,Onshore,64.95804 F,NIGHT_OVERCAST
7am,Blacks,3-4ft,FAIR,NORMAL,2.7 FT,3.0,1.81814 FT,7.0,Onshore,65.192 F,NIGHT_FOG
7am,Del Mar,2-3ft,FAIR,NORMAL,2.57 FT,3.0,1.81814 FT,7.0,Onshore,65.3 F,NIGHT_FOG
7am,LJ Shores,2-3ft,FAIR,NORMAL,2.7 FT,3.0,1.81814 FT,7.0,Cross-shore,65.192 F,NIGHT_FOG
7am,Mission,3-4ft,FAIR,NORMAL,2.57 FT,3.0,2.23593 FT,7.0,Onshore,64.832 F,NIGHT_LIGHT_RAIN
7am,OB,3-4ft,FAIR,NORMAL,2.74 FT,3.0,2.37323 FT,7.0,Onshore,65.192 F,NIGHT_OVERCAST
7am,PB,2-3ft,POOR_TO_FAIR,NORMAL,2.57 FT,2.0,2.23593 FT,7.0,Onshore,64.832 F,NIGHT_LIGHT_RAIN
7am,Scripps,2-3ft,FAIR,NORMAL,2.7 FT,3.0,1.81814 FT,7.0,Cross-shore,65.192 F,NIGHT_FOG
7am,Tourmo,2-3ft,FAIR,NORMAL,2.57 FT,3.0,2.23593 FT,7.0,Onshore,64.904 F,NIGHT_OVERCAST
