timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8am,Blacks,5-6ft,FAIR,NORMAL,4.58 FT,2.8333333333333335,2.50633 FT,17.0,Onshore,66.02 F,NIGHT_CLEAR
8am,Del Mar,4-5ft,FAIR,NORMAL,4.82 FT,3.0,2.50633 FT,17.0,Onshore,65.66 F,NIGHT_MOSTLY_CLOUDY
8am,LJ Shores,3-4ft,FAIR,NORMAL,4.58 FT,3.0,2.50633 FT,17.0,Onshore,66.02 F,NIGHT_CLEAR
8am,Mission,3-4ft,FAIR,NORMAL,5.03 FT,3.0,2.9418 FT,17.0,Onshore,65.444 F,NIGHT_CLEAR
8am,OB,4-5ft,FAIR,NORMAL,5.22 FT,3.0,2.97598 FT,17.0,Onshore,65.426 F,NIGHT_CLEAR
8am,PB,4-5ft,FAIR,NORMAL,5.03 FT,3.0,2.9418 FT,17.0,Onshore,65.444 F,NIGHT_CLEAR
8am,Scripps,3-4ft,FAIR,NORMAL,4.58 FT,3.0,2.50633 FT,17.0,Onshore,66.02 F,NIGHT_CLEAR
8am,Tourmo,3-4ft,FAIR,NORMAL,5.03 FT,3.0,2.9418 FT,17.0,Onshore,64.976 F,NIGHT_MOSTLY_CLOUDY
7am,Blacks,5-6ft,FAIR,NORMAL,5.38 FT,3.0,2.48602 FT,17.0,Onshore,65.49804 F,NIGHT_MOSTLY_CLEAR
7am,Del Mar,4-5ft,FAIR,NORMAL,5.51 FT,3.0,2.48602 FT,17.0,Onshore,65.17404 F,NIGHT_MOSTLY_CLEAR
7am,LJ Shores,3-4ft,FAIR,NORMAL,5.38 FT,3.0,2.48602 FT,17.0,Cross-shore,65.49804 F,NIGHT_MOSTLY_CLEAR
7am,Mission,3-4ft,FAIR,NORMAL,5.68 FT,3.0,2.81975 FT,17.0,Onshore,64.90404 F,NIGHT_CLEAR
7am,OB,4-5ft,FAIR,NORMAL,5.93 FT,3.0,3.002 FT,17.0,Onshore,65.40804 F,NIGHT_CLEAR
7am,PB,4-5ft,FAIR,NORMAL,5.68 FT,3.0,2.81975 FT,17.0,Onshore,64.90404 F,NIGHT_CLEAR
7am,Scripps,3-4ft,FAIR,NORMAL,5.38 FT,3.0,2.48602 FT,17.0,Cross-shore,65.49804 F,NIGHT_MOSTLY_CLEAR
7am,Tourmo,3-4ft,FAIR,NORMAL,5.68 FT,3.0,2.81975 FT,17.0,Onshore,64.94004 F,NIGHT_MOSTLY_CLEAR
